word,count
當初,44
足夠,16
好不容易,12
小時,53
天買,4
四片,4
爛掉,7
天片,20
鬼,24
還分,11
星期,16
幾推,4
質疑,12
哈,20
嘍噓,4
點去,8
標,8
黃字,4
開門,12
時去,8
一面,4
再換,8
另一面,4
誤,4
終於,31
三個,47
戴到,7
每週,4
片才,4
合理,43
總比,40
空氣流通,4
處,4
越想,4
賺錢,40
國家,116
淪陷,8
速度,7
越,8
三片,64
七天,88
差太多,4
徵調,8
只會,64
特定,12
人士,12
掃光,20
高價,36
樣,12
好噓,12
沒健,8
保卡,20
推片,12
天看,4
提升,7
共體,36
時艱,48
最少,8
七片,16
再度,4
高層,4
說夠,4
難怪,28
自產,4
每天,164
太多人,4
捐想,4
覺青,4
護,16
不得不,8
放寒假,4
不得好死,8
四百萬,12
片喊,4
哪裏,14
街頭,4
困惑,4
開放,28
二片,8
全球,20
剛剛,96
記者會,4
講了,8
即使,8
萬人能,4
文圖,4
剩萬人,4
繼續,63
絕對,29
非必要,12
要不是,8
白癡,24
吵,44
何必,12
改一,4
改不改,4
直播,4
回答,39
各種,16
先看,4
再來,23
抱怨,31
比起,29
一天天,4
有用,54
想想看,4
心情,4
說會視,4
利用,15
實名,60
解決,24
垃圾,87
仔掃,8
貨仔,4
報應,4
祝,4
塞車,4
不動,4
時肚,4
子痛,4
靠,52
支持,114
限量,68
原料,14
拉,41
以,106
週來,4
日算,4
貨輪,4
那天,29
沒買,16
隔,15
倒楣,4
甚至,20
多天,7
更多人,4
最大,15
還沒開,4
刷,12
連線,4
避免,62
撲空,8
戶外,12
不需,12
時時,8
聽,28
介接,4
民間,4
個資,4
推共體,12
這時候,8
互相,4
體諒,8
少去,4
人多,16
地,15
方,13
解決問題,8
特殊,15
一起,54
配合,48
前天,12
蔣才,4
提出,28
沒想到,47
婆媽,16
會想,4
預備,4
多個,16
怎辦,16
宣導,44
出口,64
買太多,8
戴好,12
搶口,4
使,7
用來,4
頭,4
有點痛,4
吵起來,8
推一,8
這招,4
跟本,4
考慮,46
些,19
是否,68
確實,34
執行,4
代表,40
缺貨,59
多一點,8
人買,24
少片點,4
這也,8
能算,4
省命,4
重要,40
降一快,4
換成,8
下台,8
幹,16
這才,4
真實,4
應,12
能力,20
有些,97
不戴,8
討厭,12
文為,4
扯,63
政治,107
保證,28
足,7
戴天,4
患者,16
年前,8
回來,38
分,52
噓點,4
拿命,4
賭,20
邏輯,40
就克,4
難點,8
主,4
以先,4
一線,16
無敵,4
先克,4
沒人,56
夠,16
光頭,12
圖,81
確認,32
掌握,8
花,27
抓,12
讓民眾,8
運氣,4
幾片,20
講的,16
好像,190
我國,20
實產,4
實銷,4
投票,8
韓,12
大勝,4
蛤,8
哪有,4
全部,52
買光,12
實報,4
實消,4
比長,4
呵呵,44
兩年,8
發財,12
忙,12
罷韓,4
搞不好,16
待,12
大媽,20
們,46
醫藥,16
櫃裡勒,4
推扯,8
好笑,38
以前,74
就別,16
領了給,4
有限,7
可領,4
片數,4
啥,75
柴犬仔,4
加班,32
頂得住,4
好不好,16
放在,12
家會生,4
利息,4
八卦,34
爬,16
文看,4
多久,36
公視,4
有位,8
通風處,4
曬然,4
輪流,8
等到,20
上升,16
公車,8
完噴,4
噴,51
液體,4
幕僚,16
想不到,11
讚,57
制,8
納入,4
最初,4
之一,7
超商片,4
不限,4
次數,4
不審,4
身分,4
夠是,8
前提,8
炒作,12
導致,12
急需,8
推阿,4
馬上,19
買來,27
抗抗,4
進口,40
真當,4
兩千多萬,4
高竿,4
技術,4
言問,4
認真,32
預見,8
國人,44
第一天,15
貨量,4
驚慌,4
我還,28
信,8
來不及,11
推當,8
改,36
偉大,8
供貨,36
無虞,4
一開,4
那樣,36
須要,4
人愛,4
自私,16
一部,4
掃貨,60
能帶,8
買到,58
一些,84
萬是,4
用拉噓,4
掛,16
針對,21
疫,8
情會,4
出國,4
話說回來,4
傻眼,27
要炮,4
炮,4
車後,4
家家,4
很夠,12
高能,4
回到,4
先知,12
論述,4
菁英,4
預,8
見會,4
去問,8
給你,12
答案,4
核心,4
一句,8
校園,4
兩週,8
延緩,4
和,172
荒推,4
寄出去,12
沒收,36
特別,71
當然,112
堵,4
圖片,18
中肯,4
做到,16
流汗,4
嫌到,4
流涎,4
談,4
ㄇ,20
共識,4
嗆,39
亂說,4
板耶,4
那位,12
憨粉,4
說話,8
指名,4
扣,8
帽子,4
這我,4
可不,4
不同,36
抹,12
韓粉,64
火氣,4
電動,4
阿君,4
未見,4
對號入座,4
推沒健,4
叫囂,4
凶,4
哇,24
不管怎麼,4
想個,8
完美,8
不盡,4
所有人,4
滿意,18
盡力,4
奏效,4
若有,4
方案,12
謾罵,8
無助於,4
守護,8
家園,4
假裝,4
黑,26
加強,7
衛教,8
人帶,4
即,17
浪費資源,4
推健,4
出生,4
申請,24
遺失,4
補發,4
自,23
嗨,8
提,22
版早,4
提了,4
周全,4
改進,4
嫌炮,4
澆冷水,4
卦,8
推台灣,43
兩千,4
三百萬,4
包裹,4
那種,107
講白,4
無限,8
包容,4
反應,30
太慢,4
車輪,4
黨執政,8
說不說,4
就問,8
不合理,8
注意,46
帶刷,4
重罰,4
等於,49
贊同,4
怎麼樣,22
某些,36
貨源,16
歐洲,16
一萬,16
訊息,28
